Time,Data_Collected_KB,Current_Node,Attempt_Count,Success_Flag,Skipped_Flag,Node_File,Strategy
8.034758426666649,16.68199381893126,0,1,1,0,data31,baseline
16.066697977609394,31.935142873507093,1,1,1,0,data31,baseline
24.095476444556596,45.84785798898697,2,1,1,0,data31,baseline
32.126554751483816,58.471571246984595,3,1,1,0,data31,baseline
40.15438133085309,70.42470436756253,4,1,1,0,data31,baseline
48.190961244256144,81.35709888276241,5,1,1,0,data31,baseline
56.202538067475466,86.35709888276241,6,1,1,0,data31,baseline
64.2368391870288,100.01700712354805,7,1,1,0,data31,baseline
72.2837073594845,120.49865607125349,8,1,1,0,data31,baseline
80.31453518859085,133.8216009508993,9,1,1,0,data31,baseline
88.3542643970788,151.9971637054092,10,1,1,0,data31,baseline
96.37561015955917,161.5961593552068,11,1,1,0,data31,baseline
152.40407868940812,172.84235013986842,13,1,1,0,data31,baseline
168.4333647033642,182.71485079126762,14,2,1,0,data31,baseline
176.45348208876132,191.79965273459237,15,1,1,0,data31,baseline
184.49238902316128,209.04852292703603,16,1,1,0,data31,baseline
192.5427338984423,232.94314464646584,17,1,1,0,data31,baseline
200.57133315787794,244.60842777168327,18,1,1,0,data31,baseline
208.58944515076467,251.14933649043175,19,1,1,0,data31,baseline
224.62917978596622,269.43332314625167,20,2,1,0,data31,baseline
240.64976285028155,277.2538190493815,21,2,1,0,data31,baseline
248.67211531870342,286.3374909421094,22,1,1,0,data31,baseline
256.70898470882065,303.81246921306786,23,1,1,0,data31,baseline
272.7396495219842,317.98592114030004,24,2,1,0,data31,baseline
361.2643917506615,574.6223131294828,26,5,1,0,data31,baseline
417.3203741333764,599.0700514101158,28,1,1,0,data31,baseline
425.3481521539795,610.6910277390087,29,1,1,0,data31,baseline
433.37523538763105,621.1239650523967,30,1,1,0,data31,baseline
449.40824821500047,633.8487991824588,31,2,1,0,data31,baseline
457.43735920723094,646.7849911165083,32,1,1,0,data31,baseline
482.24111945870646,1047.7567118423663,33,3,1,0,data31,baseline
490.2537168885124,1052.7990229097093,34,1,1,0,data31,baseline
498.2926591553527,1069.9291522438793,35,1,1,0,data31,baseline
506.32031578104903,1082.2227250356796,36,1,1,0,data31,baseline
522.3596675272835,1101.1068400578076,37,2,1,0,data31,baseline
530.3967123065406,1115.8686215020225,38,1,1,0,data31,baseline
546.4344553709628,1133.4620937906113,39,2,1,0,data31,baseline
562.4621241433312,1146.5050847302023,40,2,1,0,data31,baseline
570.4984119326582,1163.6951977173107,41,1,1,0,data31,baseline
666.5252994646239,1174.999015560035,43,6,1,0,data31,baseline
674.5604770496693,1189.4630431842295,44,1,1,0,data31,baseline
682.5884866687824,1202.0319567554639,45,1,1,0,data31,baseline
690.6370485129943,1224.9968657267611,46,1,1,0,data31,baseline
706.6647913833707,1237.827157731711,47,2,1,0,data31,baseline
738.688465854853,1249.1636967251918,48,4,1,0,data31,baseline
746.7174484713598,1261.272312155371,49,1,1,0,data31,baseline
754.7482039034825,1275.59372524378,50,1,1,0,data31,baseline
762.7724468265362,1286.6262001554169,51,1,1,0,data31,baseline
795.4755984863341,1637.5786255227467,52,4,1,0,data31,baseline
819.5101642115494,1653.3646347982321,53,3,1,0,data31,baseline
827.5436484821572,1667.7872677486134,54,1,1,0,data31,baseline
836.3094720375755,2048.649283919033,55,1,1,0,data31,baseline
860.3416213455021,2062.052508529959,56,3,1,0,data31,baseline
876.3717700423138,2076.029426002571,57,2,1,0,data31,baseline
884.4064022785576,2092.3847347462824,58,1,1,0,data31,baseline
892.4617329228847,2118.6087677763353,59,1,1,0,data31,baseline
908.486212050992,2129.670758224541,60,2,1,0,data31,baseline
932.5371381647925,2154.288880285267,61,3,1,0,data31,baseline
1036.5722577792662,2167.5919488193763,64,1,1,0,data31,baseline
1085.3021346472458,2531.850067876184,65,6,1,0,data31,baseline
1093.3430335112512,2550.345529785484,66,1,1,0,data31,baseline
1157.3754834103318,2562.9392891163666,68,2,1,0,data31,baseline
1165.3930302895121,2567.9392891163666,69,1,1,0,data31,baseline
1181.421634777506,2580.839051793229,70,2,1,0,data31,baseline
1189.4546036210522,2596.535072348013,71,1,1,0,data31,baseline
1197.4886844912612,2611.544140403986,72,1,1,0,data31,baseline
1253.5466917137603,2636.2118535511363,74,1,1,0,data31,baseline
1333.5879367513858,2654.0506953899244,76,4,1,0,data31,baseline
1341.6237065213418,2669.7916040468203,77,1,1,0,data31,baseline
1365.667698894515,2690.6537829587814,78,3,1,0,data31,baseline
1421.7101029686214,2709.399311343603,80,1,1,0,data31,baseline
1429.7604971068547,2733.444095488704,81,1,1,0,data31,baseline
1437.7979505303972,2749.579016994801,82,1,1,0,data31,baseline
1445.8319565332647,2763.2242056839623,83,1,1,0,data31,baseline
1509.882864756889,2783.9054172695587,85,2,1,0,data31,baseline
1613.9210479168714,2795.5605431329755,88,1,1,0,data31,baseline
1629.9459482130433,2806.220122005953,89,2,1,0,data31,baseline
1670.8864192474193,3274.538098891381,90,5,1,0,data31,baseline
1678.9046499463166,3283.2011873838196,91,1,1,0,data31,baseline
1686.9377098229195,3298.7526852769865,92,1,1,0,data31,baseline
1719.9337302968877,3795.1465190192725,93,4,1,0,data31,baseline
1727.9852095553592,3816.297575787494,94,1,1,0,data31,baseline
1736.0060390548404,3824.8414539765067,95,1,1,0,data31,baseline
1752.0523256158863,3847.6160673596896,96,2,1,0,data31,baseline
1792.0778181163478,3857.710065683502,97,5,1,0,data31,baseline
1800.0975021311049,3866.51891142776,98,1,1,0,data31,baseline
1808.1201803810334,3877.3956547895045,99,1,1,0,data31,baseline
8.034758426666649,16.68199381893126,0,1,1,0,data31,lya
16.066697977609394,31.935142873507093,1,1,1,0,data31,lya
24.095476444556596,45.84785798898697,2,1,1,0,data31,lya
32.126554751483816,58.471571246984595,3,1,1,0,data31,lya
64.16705497801499,69.40396576218448,5,1,1,0,data31,lya
72.17863180123432,74.40396576218448,6,1,1,0,data31,lya
80.21293292078767,88.06387400297012,7,1,1,0,data31,lya
88.25980109324335,108.54552295067558,8,1,1,0,data31,lya
120.30371224107836,126.72108570518547,10,1,1,0,data31,lya
128.32505800355875,136.32008135498305,11,1,1,0,data31,lya
160.35352653340772,147.5662721396447,13,1,1,0,data31,lya
176.38281254736378,157.4387727910439,14,2,1,0,data31,lya
184.4029299327609,166.52357473436865,15,1,1,0,data31,lya
192.44183686716087,183.7724449268123,16,1,1,0,data31,lya
200.4921817424419,207.66706664624212,17,1,1,0,data31,lya
208.52078100187754,219.33234977145955,18,1,1,0,data31,lya
216.53889299476427,225.87325849020803,19,1,1,0,data31,lya
232.5786276299658,244.15724514602792,20,2,1,0,data31,lya
240.59921069428114,251.97774104915777,21,1,1,0,data31,lya
248.621563162703,261.0614129418857,22,1,1,0,data31,lya
256.6584325528202,278.53639121284414,23,1,1,0,data31,lya
272.68909736598374,292.7098431400763,24,2,1,0,data31,lya
304.7005668106827,292.7098431400763,26,1,0,1,data31,lya
313.65323930352537,767.1845698580026,27,1,1,0,data31,lya
321.7054986468334,791.6323081386356,28,1,1,0,data31,lya
329.73327666743654,803.2532844675286,29,1,1,0,data31,lya
337.76035990108807,813.6862217809165,30,1,1,0,data31,lya
361.7933727284575,826.4110559109787,31,3,1,0,data31,lya
377.82248372068796,839.3472478450282,32,2,1,0,data31,lya
402.6262439721635,1240.3189685708862,33,3,1,0,data31,lya
410.6388414019694,1245.3612796382292,34,1,1,0,data31,lya
426.6777836688097,1262.4914089723993,35,2,1,0,data31,lya
442.70544029450605,1274.7849817641995,36,2,1,0,data31,lya
450.7447920407406,1293.6690967863276,37,1,1,0,data31,lya
458.78183681999775,1308.4308782305425,38,1,1,0,data31,lya
466.81957988442,1326.0243505191313,39,1,1,0,data31,lya
490.84724865678834,1339.0673414587222,40,3,1,0,data31,lya
514.8835364461154,1356.2574544458307,41,3,1,0,data31,lya
539.6211824729303,1723.6242262241271,42,3,1,0,data31,lya
563.6451575216377,1734.9280440668515,43,3,1,0,data31,lya
571.6803351066831,1749.3920716910459,44,1,1,0,data31,lya
595.7083447257961,1761.9609852622802,45,3,1,0,data31,lya
627.7387196224419,1774.79127726723,47,1,1,0,data31,lya
659.768703632444,1786.8998926974093,49,1,1,0,data31,lya
667.7994590645667,1801.2213057858182,50,1,1,0,data31,lya
675.8237019876204,1812.253780697455,51,1,1,0,data31,lya
707.827942503348,1812.253780697455,53,1,0,1,data31,lya
715.8614267739558,1826.6764136478364,54,1,1,0,data31,lya
723.8655262970333,1826.6764136478364,55,1,0,1,data31,lya
731.8976756049599,1840.0796382587625,56,1,1,0,data31,lya
739.9278243017716,1854.0565557313746,57,1,1,0,data31,lya
747.9624565380154,1870.4118644750858,58,1,1,0,data31,lya
756.0177871823425,1896.6358975051387,59,1,1,0,data31,lya
764.0422663104498,1907.6978879533444,60,1,1,0,data31,lya
772.0931924242503,1932.3160100140708,61,1,1,0,data31,lya
780.1132784102309,1941.398144174348,62,1,1,0,data31,lya
812.1464763070445,1954.7012127084572,64,1,1,0,data31,lya
844.1887358009159,1973.1966746177573,66,1,1,0,data31,lya
860.2299985099294,1991.1961577863124,67,2,1,0,data31,lya
868.2571846663334,2003.7899171171948,68,1,1,0,data31,lya
876.2747315455138,2008.7899171171948,69,1,1,0,data31,lya
884.3033360335075,2021.6896797940572,70,1,1,0,data31,lya
900.3363048770541,2037.3857003488413,71,2,1,0,data31,lya
932.3844317733115,2056.1653767577995,73,1,1,0,data31,lya
940.4359341864683,2080.8330899049497,74,1,1,0,data31,lya
972.4771792240939,2098.671931743738,76,1,1,0,data31,lya
988.5129489940499,2114.4128404006337,77,2,1,0,data31,lya
1004.5569413672232,2135.275019312595,78,2,1,0,data31,lya
1021.3140942579892,2513.5917823295113,79,2,1,0,data31,lya
1029.3559789673634,2532.337310714333,80,1,1,0,data31,lya
1037.4063731055967,2556.382094859434,81,1,1,0,data31,lya
1045.4438265291392,2572.5170163655307,82,1,1,0,data31,lya
1061.4778325320067,2586.162205054692,83,2,1,0,data31,lya
1070.4514496251438,3071.3803716584457,84,1,1,0,data31,lya
