Time,Data_Collected_KB,Current_Node,Attempt_Count,Success_Flag,Skipped_Flag,Node_File,Strategy,Num_Nodes
10.032312253168737,12.351198981164806,0,1,1,0,data1001,baseline,50
40.076038957841476,29.917536146731585,1,3,1,0,data1001,baseline,50
50.119425291267746,45.40292389347179,2,1,1,0,data1001,baseline,50
70.16280919054866,65.24614884613624,3,2,1,0,data1001,baseline,50
100.18695813537812,76.73588337674947,4,3,1,0,data1001,baseline,50
210.2178972712928,90.09757264376063,5,11,1,0,data1001,baseline,50
220.24672490410686,103.13703187809983,6,1,1,0,data1001,baseline,50
340.26457200034764,110.81945713743924,7,12,1,0,data1001,baseline,50
350.30179616513135,127.30005852276213,8,1,1,0,data1001,baseline,50
370.34125265977883,143.60533488366158,9,2,1,0,data1001,baseline,50
380.3773690685577,158.63090216687388,10,1,1,0,data1001,baseline,50
600.4020661249357,166.5540484566218,12,2,1,0,data1001,baseline,50
630.4294854232304,179.45082184279502,13,3,1,0,data1001,baseline,50
660.4584885791643,192.73724926016118,14,3,1,0,data1001,baseline,50
700.4896479861317,203.7258629140531,15,4,1,0,data1001,baseline,50
730.5269071412695,217.91943435572304,16,3,1,0,data1001,baseline,50
831.4066122778268,655.6560176778813,17,10,1,0,data1001,baseline,50
851.4568968527565,680.086947183934,18,2,1,0,data1001,baseline,50
881.4920047388014,695.9598362480931,19,3,1,0,data1001,baseline,50
921.5297622482398,712.2475882017069,20,4,1,0,data1001,baseline,50
931.5676224890683,726.8753586228761,21,1,1,0,data1001,baseline,50
991.581820011454,732.2815025463809,22,6,1,0,data1001,baseline,50
1042.4088660206749,1144.4751715271218,23,5,1,0,data1001,baseline,50
1072.4434576280112,1159.776322576827,24,3,1,0,data1001,baseline,50
1102.5047620734435,1187.0925331392534,25,3,1,0,data1001,baseline,50
1162.5419579429126,1201.1307283153478,26,6,1,0,data1001,baseline,50
1182.581905178248,1217.6384650270159,27,2,1,0,data1001,baseline,50
1353.2499136603415,1549.9093164778321,28,17,1,0,data1001,baseline,50
1363.2793685960578,1559.0659262897345,29,1,1,0,data1001,baseline,50
1383.3299378959193,1579.7800403623096,30,2,1,0,data1001,baseline,50
1413.3696853536314,1598.5397055257436,31,3,1,0,data1001,baseline,50
1444.1287626169965,1975.7005614468371,32,3,1,0,data1001,baseline,50
1454.1532979477627,1986.1536241728634,33,1,1,0,data1001,baseline,50
1474.2026519257727,2008.1675957275438,34,2,1,0,data1001,baseline,50
1494.2221591587631,2016.1583404135824,35,2,1,0,data1001,baseline,50
1534.2608110706456,2034.092625882584,36,4,1,0,data1001,baseline,50
1674.9686015805712,2385.9808462368455,37,14,1,0,data1001,baseline,50
1775.935810634892,2866.019694857814,38,10,1,0,data1001,baseline,50
1785.9618977646248,2878.1882062098002,39,1,1,0,data1001,baseline,50
1795.9977102130033,2893.6864630352384,40,1,1,0,data1001,baseline,50
1886.0273021126545,2906.1690847646573,41,9,1,0,data1001,baseline,50
1896.0507584861589,2913.415767609327,42,1,1,0,data1001,baseline,50
1916.0969212090818,2928.758582483357,43,2,1,0,data1001,baseline,50
1926.1228210845595,2938.447063914726,44,1,1,0,data1001,baseline,50
2086.171847836356,2955.815026067902,45,16,1,0,data1001,baseline,50
2106.199948038852,2966.217904896733,46,2,1,0,data1001,baseline,50
2136.2574909808536,2988.967576921821,47,3,1,0,data1001,baseline,50
2146.2901243131428,3000.05131046014,48,1,1,0,data1001,baseline,50
2186.320033443982,3013.4410028791117,49,4,1,0,data1001,baseline,50
50.03231225316874,12.351198981164806,0,5,1,0,data1001,lya,50
110.08429261693664,27.836586727905008,2,1,1,0,data1001,lya,50
120.12767651621755,47.67981168056946,3,1,1,0,data1001,lya,50
130.151825461047,59.16954621118269,4,1,1,0,data1001,lya,50
150.18276459696168,72.53123547819385,5,2,1,0,data1001,lya,50
160.21159222977573,85.57069471253305,6,1,1,0,data1001,lya,50
170.22943932601652,93.25311997187247,7,1,1,0,data1001,lya,50
180.26666349080025,109.73372135719535,8,1,1,0,data1001,lya,50
190.30611998544774,126.0389977180948,9,1,1,0,data1001,lya,50
210.34223639422663,141.0645650013071,10,2,1,0,data1001,lya,50
231.27554851863317,606.3567828318168,11,2,1,0,data1001,lya,50
271.2975178862657,614.2799291215647,12,4,1,0,data1001,lya,50
281.32493718456044,627.1767025077379,13,1,1,0,data1001,lya,50
291.3539403404943,640.463129925104,14,1,1,0,data1001,lya,50
321.38509974746177,651.4517435789959,15,3,1,0,data1001,lya,50
331.4223589025995,665.6453150206659,16,1,1,0,data1001,lya,50
391.4768754474424,690.0762445267185,18,1,1,0,data1001,lya,50
401.51198333348725,705.9491335908776,19,1,1,0,data1001,lya,50
411.54974084292564,722.2368855444914,20,1,1,0,data1001,lya,50
421.5876010837542,736.8646559656606,21,1,1,0,data1001,lya,50
441.59098631829295,736.8646559656606,22,2,0,1,data1001,lya,50
462.4180323275137,1149.0583249464014,23,2,1,0,data1001,lya,50
472.4526239348499,1164.3594759961065,24,1,1,0,data1001,lya,50
482.51392838028244,1191.675686558533,25,1,1,0,data1001,lya,50
492.55112424975147,1205.7138817346274,26,1,1,0,data1001,lya,50
502.59107148508684,1222.2216184462955,27,1,1,0,data1001,lya,50
523.2590799671804,1554.4924698971117,28,2,1,0,data1001,lya,50
543.2885349028966,1563.6490797090141,29,2,1,0,data1001,lya,50
563.3391042027581,1584.3631937815892,30,2,1,0,data1001,lya,50
573.3788516604702,1603.1228589450232,31,1,1,0,data1001,lya,50
633.4081425427592,1613.5759216710494,33,1,1,0,data1001,lya,50
643.457496520769,1635.5898932257298,34,1,1,0,data1001,lya,50
683.4770037537595,1643.5806379117685,35,4,1,0,data1001,lya,50
713.5156556656418,1661.51492338077,36,3,1,0,data1001,lya,50
744.2234461755676,2013.4031437350318,37,3,1,0,data1001,lya,50
775.1906552298882,2493.4419923560004,38,3,1,0,data1001,lya,50
785.2167423596211,2505.6105037079865,39,1,1,0,data1001,lya,50
815.2525548079994,2521.1087605334246,40,3,1,0,data1001,lya,50
875.2806378376962,2528.355443378094,42,1,1,0,data1001,lya,50
885.3268005606191,2543.698258252124,43,1,1,0,data1001,lya,50
895.352700436097,2553.3867396834935,44,1,1,0,data1001,lya,50
965.3950914660829,2563.7896185123245,46,2,1,0,data1001,lya,50
985.452634408084,2586.5392905374124,47,2,1,0,data1001,lya,50
995.4852677403734,2597.6230240757313,48,1,1,0,data1001,lya,50
1005.5151768712126,2611.012716494703,49,1,1,0,data1001,lya,50
10.031559041457692,12.351198981164806,0,1,1,0,data1002,baseline,50
40.07283820297177,29.917536146731585,1,3,1,0,data1002,baseline,50
50.11028923426421,45.40292389347179,2,1,1,0,data1002,baseline,50
70.16112050595031,65.24614884613624,3,2,1,0,data1002,baseline,50
100.18807828090884,76.73588337674947,4,3,1,0,data1002,baseline,50
210.22067887444766,90.09757264376063,5,11,1,0,data1002,baseline,50
220.2525183040319,103.13703187809983,6,1,1,0,data1002,baseline,50
340.2742362480994,110.81945713743924,7,12,1,0,data1002,baseline,50
350.3108209948276,127.30005852276213,8,1,1,0,data1002,baseline,50
370.35124202495126,143.60533488366158,9,2,1,0,data1002,baseline,50
380.3830946644455,158.63090216687388,10,1,1,0,data1002,baseline,50
600.4079812285447,166.5540484566218,12,2,1,0,data1002,baseline,50
630.4424521608929,179.45082184279502,13,3,1,0,data1002,baseline,50
660.4720813962933,192.73724926016118,14,3,1,0,data1002,baseline,50
700.495089203701,203.7258629140531,15,4,1,0,data1002,baseline,50
730.5264980650111,217.91943435572304,16,3,1,0,data1002,baseline,50
831.404284133381,655.6560176778813,17,10,1,0,data1002,baseline,50
851.4586284931404,680.086947183934,18,2,1,0,data1002,baseline,50
881.4963473919815,695.9598362480931,19,3,1,0,data1002,baseline,50
921.5321159751808,712.2475882017069,20,4,1,0,data1002,baseline,50
931.5658263073369,726.8753586228761,21,1,1,0,data1002,baseline,50
991.5886410530363,732.2815025463809,22,6,1,0,data1002,baseline,50
1042.42755588697,1144.4751715271218,23,5,1,0,data1002,baseline,50
1072.4619585121034,1159.776322576827,24,3,1,0,data1002,baseline,50
1102.5200956452848,1187.0925331392534,25,3,1,0,data1002,baseline,50
1162.552564340136,1201.1307283153478,26,6,1,0,data1002,baseline,50
