Success_Nodes,Fail_Nodes,Skipped_Nodes,Data_Collected_KB,Total_Time,Total_Energy,Total_Flight_Distance,Total_Comm_Latency,Attempts,Retry_Sum,Total_Waypoints,Success_Rate,Avg_Comm_Latency,Eff_Data_Per_Time,Eff_Data_Per_Energy,Avg_Retry_Per_Node,Strategy,Node_File
87,13,0,3877.3956547895045,1808.1201803810334,1085.3836529286555,7.307781429110748,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.1444346990101084,3.572373367082924,0.5555555555555556,baseline,data31
77,23,11,3628.9290656308112,1207.6232472027168,725.0854930216677,7.307781429110748,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.005017561591909,5.004829224355158,0.3333333333333333,lya,data31
87,13,0,3877.3956547895045,1808.1451675391945,1085.4336272449755,7.807524592312476,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.1444050645925006,3.5722088918794856,0.5555555555555556,baseline,data32
77,23,11,3628.9290656308112,1207.6482343608773,725.1354673379878,7.807524592312476,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.0049553854987803,5.004484305467514,0.3333333333333333,lya,data32
87,13,0,3877.3956547895045,1808.1538131561392,1085.4509184788676,7.98043693123136,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.14439481120331,3.5721519865893345,0.5555555555555556,baseline,data33
77,23,11,3628.9290656308112,1207.6568799778227,725.1527585718798,7.98043693123136,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.004933873019837,5.004364973771383,0.3333333333333333,lya,data33
87,13,0,3877.3956547895045,1808.140121852933,1085.4235358724557,7.706610867115224,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.144411048639336,3.572242103330551,0.5555555555555556,baseline,data34
77,23,11,3628.9290656308112,1207.6431886746163,725.1253759654678,7.706610867115224,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.004967940583134,5.004553951513661,0.3333333333333333,lya,data34
87,13,0,3877.3956547895045,1808.1496877990871,1085.442667764761,7.897929790171599,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.144399703715427,3.572179139386679,0.5555555555555556,baseline,data35
77,23,11,3628.9290656308112,1207.6527546207706,725.1445078577735,7.897929790171599,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.004944137911874,5.00442191357336,0.3333333333333333,lya,data35
87,13,0,3877.3956547895045,1808.1452940957809,1085.4338803581472,7.8100557240386355,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.1444049145002566,3.5722080588733127,0.5555555555555556,baseline,data36
77,23,11,3628.9290656308112,1207.6483609174636,725.1357204511598,7.8100557240386355,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.0049550705918024,5.004482558620874,0.3333333333333333,lya,data36
87,13,0,3877.3956547895045,1808.1440989555858,1085.4314900777574,7.786152920132134,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.144406331900844,3.5722159254028445,0.5555555555555556,baseline,data37
77,23,11,3628.9290656308112,1207.6471657772686,725.1333301707698,7.786152920132134,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.004958044426123,5.004499055058184,0.3333333333333333,lya,data37
87,13,0,3877.3956547895045,1808.1214272609218,1085.3861466884307,7.332719026870395,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.1444332202087084,3.5723651592750096,0.5555555555555556,baseline,data38
77,23,11,3628.9290656308112,1207.624494082605,725.0879867814434,7.332719026870395,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.00501445889237,5.004812011489919,0.3333333333333333,lya,data38
87,13,0,3877.3956547895045,1808.1354858170132,1085.4142638006144,7.613890148699849,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.1444165468814345,3.5722726189470495,0.5555555555555556,baseline,data39
77,23,11,3628.9290656308112,1207.6385526386962,725.1161038936265,7.613890148699849,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.004979476434885,5.004617944829384,0.3333333333333333,lya,data39
87,13,0,3877.3956547895045,1808.1521355853974,1085.4475633373831,7.946885516391634,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.144396800733905,3.5721630281870347,0.5555555555555556,baseline,data40
77,23,11,3628.9290656308112,1207.6552024070809,725.1494034303956,7.946885516391634,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.0049380472155316,5.004388128106815,0.3333333333333333,lya,data40
87,13,0,3877.3956547895045,1808.1476073318893,1085.4385068303657,7.856320446214592,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.144402171076623,3.5721928330256585,0.5555555555555556,baseline,data41
77,23,11,3628.9290656308112,1207.6506741535727,725.140346923378,7.856320446214592,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.0049493146470376,5.004450629492089,0.3333333333333333,lya,data41
87,13,0,3877.3956547895045,1808.1276556911785,1085.3986035489465,7.4572876320221715,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.1444258333117103,3.5723241600933675,0.5555555555555556,baseline,data42
77,23,11,3628.9290656308112,1207.630722512862,725.1004436419587,7.4572876320221715,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.0049989603441554,5.004726031339611,0.3333333333333333,lya,data42
87,13,0,3877.3956547895045,1808.1480018778855,1085.4392959223594,7.864211366156816,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.14440170315846,3.5721902361151034,0.5555555555555556,baseline,data43
77,23,11,3628.9290656308112,1207.651068699569,725.1411360153718,7.864211366156816,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.0049483329141915,5.004445183694397,0.3333333333333333,lya,data43
87,13,0,3877.3956547895045,1808.1549058648586,1085.4531038963044,8.002291105599905,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.1443935152972458,3.5721447945298985,0.5555555555555556,baseline,data44
77,23,11,3628.9290656308112,1207.6579726865416,725.1549439893167,8.002291105599905,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.0049311541064383,5.004349891992565,0.3333333333333333,lya,data44
87,13,0,3877.3956547895045,1808.1463547396313,1085.4360016458497,7.831268601064423,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.144403656609888,3.5722010776408726,0.5555555555555556,baseline,data45
77,23,11,3628.9290656308112,1207.6494215613147,725.1378417388626,7.831268601064423,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.0049524314259473,5.004467918718363,0.3333333333333333,lya,data45
87,13,0,3877.3956547895045,1808.1417898119632,1085.4268717905145,7.739970047698508,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.1444090704815424,3.5722311245099108,0.5555555555555556,baseline,data46
77,23,11,3628.9290656308112,1207.6448566336462,725.1287118835266,7.739970047698508,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.004963790221061,5.00453092831567,0.3333333333333333,lya,data46
87,13,0,3877.3956547895045,1808.1461761019668,1085.43564437052,7.827695847763501,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.1444038684684563,3.572202253444638,0.5555555555555556,baseline,data47
77,23,11,3628.9290656308112,1207.6492429236494,725.1374844635325,7.827695847763501,1207.2578581312614,150,50,100,0.77,8.048385720875077,3.0049528759239585,5.004470384420338,0.3333333333333333,lya,data47
87,13,0,3877.3956547895045,1808.1485464329337,1085.4403850324552,7.875102467112941,1807.7547913095782,225,125,100,0.87,8.034465739153681,2.144401057334988,3.572186651847829,0.5555555555555556,baseline,data48
