Node_File,Total_Data_Packets,Total_Waypoints,Successful_Communications,Failed_Communications,Success_Rate,Failure_Rate,Total_Energy_Consumed,Efficiency,Total_Flight_Distance,Total_Communication_Latency,Average_Communication_Latency
data1001,5985,51,32,19,62.75%,37.25%,200,29.9250,499.9000000000802,0.0,0.000000
data1002,6093,51,33,18,64.71%,35.29%,200,30.4650,499.90000000008024,0.0,0.000000
data1003,6028,51,32,19,62.75%,37.25%,200,30.1400,499.90000000007956,0.0,0.000000
data1004,6044,51,33,18,64.71%,35.29%,200,30.2200,499.90000000008007,0.0,0.000000
data1005,6726,51,36,15,70.59%,29.41%,200,33.6300,499.90000000008047,0.0,0.000000
data1006,6640,51,36,15,70.59%,29.41%,200,33.2000,499.90000000007933,0.0,0.000000
data1007,6190,51,35,16,68.63%,31.37%,200,30.9500,499.9000000000792,0.0,0.000000
data1008,6113,51,32,19,62.75%,37.25%,200,30.5650,499.9000000000799,0.0,0.000000
data1009,6270,51,34,17,66.67%,33.33%,200,31.3500,499.900000000081,0.0,0.000000
data1010,4763,51,26,25,50.98%,49.02%,200,23.8150,499.90000000008007,0.0,0.000000
data1011,5120,51,28,23,54.90%,45.10%,200,25.6000,499.9000000000801,0.0,0.000000
data1012,7171,51,38,13,74.51%,25.49%,200,35.8550,499.9000000000797,0.0,0.000000
data1013,5980,51,33,18,64.71%,35.29%,200,29.9000,499.90000000007996,0.0,0.000000
data1014,6918,51,37,14,72.55%,27.45%,200,34.5900,499.90000000007984,0.0,0.000000
data1015,5451,51,31,20,60.78%,39.22%,200,27.2550,499.90000000007973,0.0,0.000000
data1016,4563,51,24,27,47.06%,52.94%,200,22.8150,499.9000000000798,0.0,0.000000
data1017,5553,51,30,21,58.82%,41.18%,200,27.7650,499.9000000000795,0.0,0.000000
data1018,5934,51,33,18,64.71%,35.29%,200,29.6700,499.9000000000794,0.0,0.000000
data1019,5565,51,31,20,60.78%,39.22%,200,27.8250,499.90000000007996,0.0,0.000000
data1020,5019,51,27,24,52.94%,47.06%,200,25.0950,499.9000000000797,0.0,0.000000
