Node_File,Total_Data_Packets,Total_Waypoints,Successful_Communications,Failed_Communications,Success_Rate,Failure_Rate,Total_Energy_Consumed,Efficiency,Total_Flight_Distance,Total_Communication_Latency,Average_Communication_Latency
data1751,24194,201,143,58,71.14%,28.86%,200,120.9700,499.9000000000802,0.0,0.000000
data1752,25100,201,148,53,73.63%,26.37%,200,125.5000,499.90000000007956,0.0,0.000000
data1753,23640,201,137,64,68.16%,31.84%,200,118.2000,499.90000000008,0.0,0.000000
data1754,24779,201,146,55,72.64%,27.36%,200,123.8950,499.9000000000801,0.0,0.000000
data1755,25330,201,150,51,74.63%,25.37%,200,126.6500,499.9000000000798,0.0,0.000000
data1756,26640,201,158,43,78.61%,21.39%,200,133.2000,499.90000000007933,0.0,0.000000
data1757,25587,201,152,49,75.62%,24.38%,200,127.9350,499.9000000000799,0.0,0.000000
data1758,24715,201,146,55,72.64%,27.36%,200,123.5750,499.9000000000803,0.0,0.000000
data1759,24894,201,146,55,72.64%,27.36%,200,124.4700,499.90000000008075,0.0,0.000000
data1760,24875,201,150,51,74.63%,25.37%,200,124.3750,499.90000000007956,0.0,0.000000
data1761,26277,201,158,43,78.61%,21.39%,200,131.3850,499.9000000000803,0.0,0.000000
data1762,23636,201,139,62,69.15%,30.85%,200,118.1800,499.90000000007956,0.0,0.000000
data1763,26357,201,157,44,78.11%,21.89%,200,131.7850,499.9000000000793,0.0,0.000000
data1764,24621,201,148,53,73.63%,26.37%,200,123.1050,499.9000000000792,0.0,0.000000
data1765,24630,201,147,54,73.13%,26.87%,200,123.1500,499.9000000000804,0.0,0.000000
data1766,25556,201,150,51,74.63%,25.37%,200,127.7800,499.9000000000803,0.0,0.000000
data1767,23584,201,140,61,69.65%,30.35%,200,117.9200,499.90000000007944,0.0,0.000000
data1768,24638,201,149,52,74.13%,25.87%,200,123.1900,499.9000000000802,0.0,0.000000
data1769,26018,201,153,48,76.12%,23.88%,200,130.0900,499.9000000000795,0.0,0.000000
data1770,25314,201,149,52,74.13%,25.87%,200,126.5700,499.9000000000802,0.0,0.000000
