Node_File,Total_Data_Packets,Total_Waypoints,Successful_Communications,Failed_Communications,Success_Rate,Failure_Rate,Total_Energy_Consumed,Efficiency,Total_Flight_Distance,Total_Communication_Latency,Average_Communication_Latency
data1501,19414,151,111,40,73.51%,26.49%,200,97.0700,499.9000000000796,0.0,0.000000
data1502,19501,151,111,40,73.51%,26.49%,200,97.5050,499.9000000000795,0.0,0.000000
data1503,18761,151,109,42,72.19%,27.81%,200,93.8050,499.9000000000795,0.0,0.000000
data1504,19643,151,113,38,74.83%,25.17%,200,98.2150,499.9000000000793,0.0,0.000000
data1505,18521,151,107,44,70.86%,29.14%,200,92.6050,499.9000000000799,0.0,0.000000
data1506,17964,151,104,47,68.87%,31.13%,200,89.8200,499.90000000008035,0.0,0.000000
data1507,20443,151,118,33,78.15%,21.85%,200,102.2150,499.9000000000798,0.0,0.000000
data1508,17540,151,105,46,69.54%,30.46%,200,87.7000,499.9000000000795,0.0,0.000000
data1509,18455,151,109,42,72.19%,27.81%,200,92.2750,499.9000000000807,0.0,0.000000
data1510,19186,151,110,41,72.85%,27.15%,200,95.9300,499.9000000000801,0.0,0.000000
data1511,17456,151,101,50,66.89%,33.11%,200,87.2800,499.9000000000792,0.0,0.000000
data1512,17276,151,102,49,67.55%,32.45%,200,86.3800,499.90000000007944,0.0,0.000000
data1513,17443,151,102,49,67.55%,32.45%,200,87.2150,499.9000000000801,0.0,0.000000
data1514,18130,151,107,44,70.86%,29.14%,200,90.6500,499.9000000000799,0.0,0.000000
data1515,18767,151,108,43,71.52%,28.48%,200,93.8350,499.9000000000795,0.0,0.000000
data1516,18128,151,110,41,72.85%,27.15%,200,90.6400,499.9000000000796,0.0,0.000000
data1517,19613,151,114,37,75.50%,24.50%,200,98.0650,499.9000000000794,0.0,0.000000
data1518,19737,151,114,37,75.50%,24.50%,200,98.6850,499.90000000007956,0.0,0.000000
data1519,16643,151,97,54,64.24%,35.76%,200,83.2150,499.90000000007916,0.0,0.000000
data1520,18794,151,111,40,73.51%,26.49%,200,93.9700,499.90000000007944,0.0,0.000000
