scale,V,strategy,total_time_mean,total_time_std,skipped_mean,skipped_std
50,100.0,Baseline,1780.7157206537395,221.6051960471134,0.0,0.0
50,100.0,Lyapunov,565.0117062652047,32.83011385016571,11.6,3.6110940170535577
50,500.0,Baseline,1780.7157206537395,221.6051960471134,0.0,0.0
50,500.0,Lyapunov,565.0117062652047,32.83011385016571,11.6,3.6110940170535577
50,1000.0,Baseline,1780.7157206537395,221.6051960471134,0.0,0.0
50,1000.0,Lyapunov,565.0117062652047,32.83011385016571,11.6,3.6110940170535577
50,5000.0,Baseline,1780.7157206537395,221.6051960471134,0.0,0.0
50,5000.0,Lyapunov,565.0117062652047,32.83011385016571,11.6,3.6110940170535577
50,10000.0,Baseline,1780.7157206537395,221.6051960471134,0.0,0.0
50,10000.0,Lyapunov,565.0117062652047,32.83011385016571,11.6,3.6110940170535577
50,50000.0,Baseline,1780.7157206537395,221.6051960471134,0.0,0.0
50,50000.0,Lyapunov,565.0117062652047,32.83011385016571,11.6,3.6110940170535577
50,100000.0,Baseline,1780.7157206537395,221.6051960471134,0.0,0.0
50,100000.0,Lyapunov,565.0117062652047,32.83011385016571,11.6,3.6110940170535577
100,100.0,Baseline,3904.392176395083,338.5293640728433,0.0,0.0
100,100.0,Lyapunov,1117.3193220759608,66.59312902512492,20.0,7.293833011524188
100,500.0,Baseline,3904.392176395083,338.5293640728433,0.0,0.0
100,500.0,Lyapunov,1117.3193220759608,66.59312902512492,20.0,7.293833011524188
100,1000.0,Baseline,3904.392176395083,338.5293640728433,0.0,0.0
100,1000.0,Lyapunov,1117.3193220759608,66.59312902512492,20.0,7.293833011524188
100,5000.0,Baseline,3904.392176395083,338.5293640728433,0.0,0.0
100,5000.0,Lyapunov,1117.3193220759608,66.59312902512492,20.0,7.293833011524188
100,10000.0,Baseline,3904.392176395083,338.5293640728433,0.0,0.0
100,10000.0,Lyapunov,1117.3193220759608,66.59312902512492,20.0,7.293833011524188
100,50000.0,Baseline,3904.392176395083,338.5293640728433,0.0,0.0
100,50000.0,Lyapunov,1117.3193220759608,66.59312902512492,20.0,7.293833011524188
100,100000.0,Baseline,3904.392176395083,338.5293640728433,0.0,0.0
100,100000.0,Lyapunov,1117.3193220759608,66.59312902512492,20.0,7.293833011524188
150,100.0,Baseline,4996.464649526968,1.6015725670236955,0.0,0.0
150,100.0,Lyapunov,1617.1336464795113,29.136772209928708,36.6,3.006659275674582
150,500.0,Baseline,4996.464649526968,1.6015725670236955,0.0,0.0
150,500.0,Lyapunov,1617.1336464795113,29.136772209928708,36.6,3.006659275674582
150,1000.0,Baseline,4996.464649526968,1.6015725670236955,0.0,0.0
150,1000.0,Lyapunov,1617.1336464795113,29.136772209928708,36.6,3.006659275674582
150,5000.0,Baseline,4996.464649526968,1.6015725670236955,0.0,0.0
150,5000.0,Lyapunov,1617.1336464795113,29.136772209928708,36.6,3.006659275674582
150,10000.0,Baseline,4996.464649526968,1.6015725670236955,0.0,0.0
150,10000.0,Lyapunov,1617.1336464795113,29.136772209928708,36.6,3.006659275674582
150,50000.0,Baseline,4996.464649526968,1.6015725670236955,0.0,0.0
150,50000.0,Lyapunov,1617.1336464795113,29.136772209928708,36.6,3.006659275674582
150,100000.0,Baseline,4996.464649526968,1.6015725670236955,0.0,0.0
150,100000.0,Lyapunov,1617.1336464795113,29.136772209928708,36.6,3.006659275674582
