Node_File,Total_Data_Packets,Total_Waypoints,Successful_Communications,Failed_Communications,Success_Rate,Failure_Rate,Total_Energy_Consumed,Efficiency,Total_Flight_Distance,Total_Communication_Latency,Average_Communication_Latency
data1501,9203,151,108,43,71.52%,28.48%,200,46.0150,499.9000000000796,5.284999999998078,0.005000
data1502,8401,151,108,43,71.52%,28.48%,200,42.0050,499.9000000000795,5.779999999997709,0.005000
data1503,9207,151,107,44,70.86%,29.14%,200,46.0350,499.9000000000795,5.0299999999978775,0.005000
data1504,9676,151,110,41,72.85%,27.15%,200,48.3800,499.9000000000793,5.66499999999776,0.005000
data1505,9382,151,105,46,69.54%,30.46%,200,46.9100,499.9000000000799,5.264999999998014,0.005000
data1506,8329,151,102,49,67.55%,32.45%,200,41.6450,499.90000000008035,5.419999999998187,0.005000
data1507,9343,151,116,35,76.82%,23.18%,200,46.7150,499.9000000000798,6.194999999997576,0.005000
data1508,7856,151,101,50,66.89%,33.11%,200,39.2800,499.9000000000795,4.739999999998207,0.005000
data1509,9264,151,103,48,68.21%,31.79%,200,46.3200,499.9000000000807,4.9649999999978816,0.005000
data1510,9991,151,109,42,72.19%,27.81%,200,49.9550,499.9000000000801,5.994999999997709,0.005000
data1511,8181,151,101,50,66.89%,33.11%,200,40.9050,499.9000000000792,5.124999999998046,0.005000
data1512,7711,151,97,54,64.24%,35.76%,200,38.5550,499.90000000007944,5.009999999998075,0.005000
data1513,8816,151,100,51,66.23%,33.77%,200,44.0800,499.9000000000801,5.194999999998276,0.005000
data1514,7946,151,106,45,70.20%,29.80%,200,39.7300,499.9000000000799,4.954999999997997,0.005000
data1515,10262,151,106,45,70.20%,29.80%,200,51.3100,499.9000000000795,5.639999999997596,0.005000
data1516,9331,151,105,46,69.54%,30.46%,200,46.6550,499.9000000000796,5.2949999999980575,0.005000
data1517,9015,151,113,38,74.83%,25.17%,200,45.0750,499.9000000000794,5.419999999998212,0.005000
data1518,9594,151,113,38,74.83%,25.17%,200,47.9700,499.90000000007956,5.5249999999976644,0.005000
data1519,9210,151,97,54,64.24%,35.76%,200,46.0500,499.90000000007916,5.04499999999823,0.005000
data1520,8016,151,109,42,72.19%,27.81%,200,40.0800,499.90000000007944,5.009999999997988,0.005000
