Node_File,Total_Data_Packets,Total_Waypoints,Successful_Communications,Failed_Communications,Success_Rate,Failure_Rate,Total_Energy_Consumed,Efficiency,Total_Flight_Distance,Total_Communication_Latency,Average_Communication_Latency
data1001,3349,51,32,19,62.75%,37.25%,200,16.7450,499.9000000000802,2.2249999999990786,0.005000
data1002,2589,51,32,19,62.75%,37.25%,200,12.9450,499.90000000008024,2.279999999999087,0.005000
data1003,3111,51,31,20,60.78%,39.22%,200,15.5550,499.90000000007956,2.5999999999990564,0.005000
data1004,3218,51,33,18,64.71%,35.29%,200,16.0900,499.90000000008007,2.5049999999991055,0.005000
data1005,3109,51,36,15,70.59%,29.41%,200,15.5450,499.90000000008047,2.7249999999989143,0.005000
data1006,3434,51,36,15,70.59%,29.41%,200,17.1700,499.90000000007933,2.764999999998979,0.005000
data1007,3154,51,33,18,64.71%,35.29%,200,15.7700,499.9000000000792,2.9649999999988506,0.005000
data1008,3017,51,32,19,62.75%,37.25%,200,15.0850,499.9000000000799,2.6199999999989396,0.005000
data1009,3060,51,34,17,66.67%,33.33%,200,15.3000,499.900000000081,2.629999999998989,0.005000
data1010,2350,51,25,26,49.02%,50.98%,200,11.7500,499.90000000008007,1.789999999999325,0.005000
data1011,2259,51,28,23,54.90%,45.10%,200,11.2950,499.9000000000801,1.9999999999993365,0.005000
data1012,3652,51,38,13,74.51%,25.49%,200,18.2600,499.9000000000797,3.619999999998562,0.005000
data1013,3220,51,31,20,60.78%,39.22%,200,16.1000,499.90000000007996,2.3049999999991515,0.005000
data1014,2773,51,37,14,72.55%,27.45%,200,13.8650,499.90000000007984,2.6899999999989648,0.005000
data1015,3238,51,30,21,58.82%,41.18%,200,16.1900,499.90000000007973,2.4049999999990197,0.005000
data1016,2387,51,24,27,47.06%,52.94%,200,11.9350,499.9000000000798,1.994999999999333,0.005000
data1017,2735,51,30,21,58.82%,41.18%,200,13.6750,499.9000000000795,2.2849999999991297,0.005000
data1018,2771,51,32,19,62.75%,37.25%,200,13.8550,499.9000000000794,2.6449999999989586,0.005000
data1019,3018,51,30,21,58.82%,41.18%,200,15.0900,499.90000000007996,2.199999999999183,0.005000
data1020,2369,51,27,24,52.94%,47.06%,200,11.8450,499.9000000000797,2.2749999999991743,0.005000
