Node_File,Total_Data_Packets,Total_Waypoints,Successful_Communications,Failed_Communications,Success_Rate,Failure_Rate,Total_Energy_Consumed,Efficiency,Total_Flight_Distance,Total_Communication_Latency,Average_Communication_Latency
data31,5996,101,68,33,67.33%,32.67%,200,29.9800,499.90000000008064,4.534999999997811,0.005000
data32,5651,101,66,35,65.35%,34.65%,200,28.2550,499.9000000000799,4.309999999998259,0.005000
data33,5509,101,68,33,67.33%,32.67%,200,27.5450,499.9000000000798,3.774999999998532,0.005000
data34,6004,101,68,33,67.33%,32.67%,200,30.0200,499.9000000000797,4.029999999998246,0.005000
data35,5806,101,69,32,68.32%,31.68%,200,29.0300,499.9000000000797,3.809999999998439,0.005000
data36,5979,101,68,33,67.33%,32.67%,200,29.8950,499.90000000008104,3.7799999999984673,0.005000
data37,5577,101,69,32,68.32%,31.68%,200,27.8850,499.9000000000793,3.799999999998586,0.005000
data38,6132,101,71,30,70.30%,29.70%,200,30.6600,499.9000000000792,3.9299999999984427,0.005000
data39,5852,101,68,33,67.33%,32.67%,200,29.2600,499.9000000000796,3.749999999998529,0.005000
data40,4936,101,62,39,61.39%,38.61%,200,24.6800,499.9000000000804,3.779999999998638,0.005000
data41,5217,101,67,34,66.34%,33.66%,200,26.0850,499.9000000000795,3.9699999999984144,0.005000
data42,6138,101,69,32,68.32%,31.68%,200,30.6900,499.9000000000797,4.1449999999983,0.005000
data43,5979,101,60,41,59.41%,40.59%,200,29.8950,499.90000000008035,3.664999999998633,0.005000
data44,6612,101,69,32,68.32%,31.68%,200,33.0600,499.9000000000795,3.649999999998517,0.005000
data45,6096,101,69,32,68.32%,31.68%,200,30.4800,499.9000000000796,4.0349999999984565,0.005000
data46,5594,101,66,35,65.35%,34.65%,200,27.9700,499.9000000000798,3.879999999998345,0.005000
data47,6098,101,68,33,67.33%,32.67%,200,30.4900,499.90000000007933,4.024999999998299,0.005000
data48,5913,101,66,35,65.35%,34.65%,200,29.5650,499.9000000000794,3.8149999999985313,0.005000
data49,5838,101,68,33,67.33%,32.67%,200,29.1900,499.9000000000803,3.9649999999983434,0.005000
data50,6469,101,67,34,66.34%,33.66%,200,32.3450,499.9000000000792,4.204999999998238,0.005000
