Node_File,Total_Data_Packets,Total_Waypoints,Successful_Communications,Failed_Communications,Success_Rate,Failure_Rate,Total_Energy_Consumed,Efficiency,Total_Flight_Distance,Total_Communication_Latency,Average_Communication_Latency
data1751,11932,201,141,60,70.15%,29.85%,200,59.6600,499.9000000000802,5.964999999997624,0.005000
data1752,12472,201,148,53,73.63%,26.37%,200,62.3600,499.90000000007956,6.284999999997355,0.005000
data1753,11697,201,136,65,67.66%,32.34%,200,58.4850,499.90000000008,6.799999999997399,0.005000
data1754,11421,201,141,60,70.15%,29.85%,200,57.1050,499.9000000000801,6.679999999997497,0.005000
data1755,11810,201,148,53,73.63%,26.37%,200,59.0500,499.9000000000798,6.554999999997378,0.005000
data1756,12606,201,153,48,76.12%,23.88%,200,63.0300,499.90000000007933,6.839999999997538,0.005000
data1757,11960,201,149,52,74.13%,25.87%,200,59.8000,499.9000000000799,6.974999999997522,0.005000
data1758,12646,201,142,59,70.65%,29.35%,200,63.2300,499.9000000000803,6.3049999999976825,0.005000
data1759,12140,201,144,57,71.64%,28.36%,200,60.7000,499.90000000008075,6.999999999997211,0.005000
data1760,12434,201,145,56,72.14%,27.86%,200,62.1700,499.90000000007956,6.709999999997459,0.005000
data1761,12311,201,153,48,76.12%,23.88%,200,61.5550,499.9000000000803,6.484999999997366,0.005000
data1762,11832,201,133,68,66.17%,33.83%,200,59.1600,499.90000000007956,6.564999999997565,0.005000
data1763,13667,201,152,49,75.62%,24.38%,200,68.3350,499.9000000000793,7.19499999999714,0.005000
data1764,12857,201,147,54,73.13%,26.87%,200,64.2850,499.9000000000792,6.369999999997463,0.005000
data1765,11911,201,142,59,70.65%,29.35%,200,59.5550,499.9000000000804,6.434999999997329,0.005000
data1766,13285,201,149,52,74.13%,25.87%,200,66.4250,499.9000000000803,7.304999999996906,0.005000
data1767,11965,201,134,67,66.67%,33.33%,200,59.8250,499.90000000007944,6.4999999999977325,0.005000
data1768,13427,201,147,54,73.13%,26.87%,200,67.1350,499.9000000000802,6.424999999997562,0.005000
data1769,12583,201,150,51,74.63%,25.37%,200,62.9150,499.9000000000795,7.41499999999683,0.005000
data1770,12251,201,146,55,72.64%,27.36%,200,61.2550,499.9000000000802,7.109999999997418,0.005000
