load_scale,seed,strategy,total_time,energy,success_nodes,fail_nodes,skipped_nodes,collected_value
0.6,2000,Baseline,4091.850905485645,2455.622087991426,100,0,0,140.0
0.6,2000,Lyapunov,1129.8758140885436,678.4370331531635,69,31,18,105.0
0.6,2001,Baseline,3523.1725112925706,2114.41505147557,100,0,0,140.0
0.6,2001,Lyapunov,1132.571059460438,680.0541803763006,68,32,18,100.0
0.6,2002,Baseline,3973.226225230399,2384.447279838273,100,0,0,140.0
0.6,2002,Lyapunov,1207.7577028140697,725.1661663884798,68,32,20,92.0
0.6,2003,Baseline,4240.324428318862,2544.7062016913615,100,0,0,140.0
0.6,2003,Lyapunov,1126.2639139728046,676.2698930837206,69,31,20,97.0
0.6,2004,Baseline,3496.1010685630717,2098.1721858378705,100,0,0,140.0
0.6,2004,Lyapunov,1079.774680646809,648.3763530881232,69,31,19,89.0
0.8,2000,Baseline,4106.346077623709,2464.319191274264,100,0,0,140.0
0.8,2000,Lyapunov,1135.712622427573,681.9391181565812,69,31,18,105.0
0.8,2001,Baseline,3537.4415520329426,2122.9764759197933,100,0,0,140.0
0.8,2001,Lyapunov,1136.639616256766,682.4953144540971,68,32,18,100.0
0.8,2002,Baseline,3985.5131706167144,2391.819447070061,100,0,0,140.0
0.8,2002,Lyapunov,1212.8884740616074,728.2446291370024,68,32,20,92.0
0.8,2003,Baseline,4253.6441080680015,2552.6980095408426,100,0,0,140.0
0.8,2003,Lyapunov,1133.5634222732544,680.6495980639903,69,31,20,97.0
0.8,2004,Baseline,3509.346295060275,2106.1193217361947,100,0,0,140.0
0.8,2004,Lyapunov,1084.9111111719274,651.4582114031941,69,31,19,89.0
1.0,2000,Baseline,4120.841249761772,2473.0162945571024,100,0,0,140.0
1.0,2000,Lyapunov,1141.5494307666022,685.4412031599994,69,31,18,105.0
1.0,2001,Baseline,3551.7105927733137,2131.5379003640155,100,0,0,140.0
1.0,2001,Lyapunov,1140.708173053094,684.9364485318941,68,32,18,100.0
1.0,2002,Baseline,3997.800116003028,2399.1916143018498,100,0,0,140.0
1.0,2002,Lyapunov,1218.0192453091458,731.3230918855255,68,32,20,92.0
1.0,2003,Baseline,4266.963787817137,2560.6898173903255,100,0,0,140.0
1.0,2003,Lyapunov,1140.862930573705,685.0293030442602,69,31,20,97.0
1.0,2004,Baseline,3522.5915215574814,2114.0664576345184,100,0,0,140.0
1.0,2004,Lyapunov,1090.0475416970448,654.5400697182649,69,31,19,89.0
1.2,2000,Baseline,4135.336421899836,2481.7133978399397,100,0,0,140.0
1.2,2000,Lyapunov,1147.3862391056316,688.9432881634168,69,31,18,105.0
1.2,2001,Baseline,3565.9796335136853,2140.099324808239,100,0,0,140.0
1.2,2001,Lyapunov,1144.7767298494216,687.3775826096906,68,32,18,100.0
1.2,2002,Baseline,4010.087061389344,2406.563781533638,100,0,0,140.0
1.2,2002,Lyapunov,1223.1500165566845,734.4015546340482,68,32,20,92.0
1.2,2003,Baseline,4280.2834675662725,2568.6816252398066,100,0,0,140.0
1.2,2003,Lyapunov,1148.1624388741545,689.4090080245305,69,31,20,97.0
1.2,2004,Baseline,3535.8367480546867,2122.013593532841,100,0,0,140.0
1.2,2004,Lyapunov,1095.1839722221634,657.6219280333354,69,31,19,89.0
1.4,2000,Baseline,4149.831594037898,2490.410501122778,100,0,0,140.0
1.4,2000,Lyapunov,1153.2230474446615,692.4453731668344,69,31,18,105.0
1.4,2001,Baseline,3580.2486742540564,2148.6607492524613,100,0,0,140.0
1.4,2001,Lyapunov,1148.8452866457494,689.8187166874875,68,32,18,100.0
1.4,2002,Baseline,4022.3740067756576,2413.935948765427,100,0,0,140.0
1.4,2002,Lyapunov,1228.2807878042224,737.480017382571,68,32,20,92.0
1.4,2003,Baseline,4293.603147315409,2576.673433089289,100,0,0,140.0
1.4,2003,Lyapunov,1155.4619471746043,693.7887130048003,69,31,20,97.0
1.4,2004,Baseline,3549.081974551892,2129.960729431165,100,0,0,140.0
1.4,2004,Lyapunov,1100.3204027472805,660.7037863484062,69,31,19,89.0
