V,seed,total_time,energy,success_nodes,fail_nodes,skipped_nodes,skipped_per_node
0.1,5000,1284.4051711285595,771.1546473771724,72,28,10,0.1
0.1,5001,1287.9018474042832,773.2526531426074,77,23,6,0.06
0.1,5002,1300.6659125262124,780.9110922157644,74,26,6,0.06
0.1,5003,1299.1349766132503,779.9925306679871,76,24,7,0.07
0.1,5004,1341.8579714338289,805.626327560334,79,21,7,0.07
0.16187677556400662,5000,1220.2847653548977,732.6824039129755,71,29,11,0.11
0.16187677556400662,5001,1263.81525975375,758.8007005522874,75,25,12,0.12
0.16187677556400662,5002,1238.2349281869651,743.4525016122163,74,26,10,0.1
0.16187677556400662,5003,1345.6288303452448,807.8888429071836,75,25,6,0.06
0.16187677556400662,5004,1278.2626074965426,767.4691091979623,70,30,10,0.1
0.26204090466999763,5000,1220.2847653548977,732.6824039129755,71,29,11,0.11
0.26204090466999763,5001,1254.8872964841678,753.443922590538,71,29,15,0.15
0.26204090466999763,5002,1238.2349281869651,743.4525016122163,74,26,10,0.1
0.26204090466999763,5003,1345.6288303452448,807.8888429071836,75,25,6,0.06
0.26204090466999763,5004,1261.950716760383,757.6819747562668,69,31,11,0.11
0.42418336713854454,5000,1123.8276078771228,674.8081094263109,65,35,23,0.23
0.42418336713854454,5001,1263.759596302287,758.7673024814097,75,25,12,0.12
0.42418336713854454,5002,1238.2349281869651,743.4525016122163,74,26,10,0.1
0.42418336713854454,5003,1282.1713309588429,769.8143432753427,73,27,9,0.09
0.42418336713854454,5004,1261.950716760383,757.6819747562668,69,31,11,0.11
0.6866543572027081,5000,983.8774750382454,590.8380297229849,58,42,34,0.34
0.6866543572027081,5001,1263.098256027216,758.3704983163667,74,26,12,0.12
0.6866543572027081,5002,1238.2349281869651,743.4525016122163,74,26,10,0.1
0.6866543572027081,5003,1138.1254963228296,683.3868424937355,62,38,26,0.26
0.6866543572027081,5004,1197.5752766166588,719.0567106700322,67,33,16,0.16
1.1115339327095,5000,958.6944854875385,575.7282359925607,54,46,39,0.39
1.1115339327095,5001,1169.9718902721604,702.4946788633338,68,32,20,0.2
1.1115339327095,5002,1180.7662311724548,708.9712834035101,68,32,16,0.16
1.1115339327095,5003,1170.1999053739582,702.6314879244127,66,34,20,0.2
1.1115339327095,5004,1040.6055732834861,624.8748886701289,59,41,31,0.31
1.799315289569933,5000,958.6944854875385,575.7282359925607,54,46,39,0.39
1.799315289569933,5001,1169.9718902721604,702.4946788633338,68,32,20,0.2
1.799315289569933,5002,1180.7662311724548,708.9712834035101,68,32,16,0.16
1.799315289569933,5003,1170.1999053739582,702.6314879244127,66,34,20,0.2
1.799315289569933,5004,1040.6055732834861,624.8748886701289,59,41,31,0.31
2.9126735729859763,5000,958.6944854875385,575.7282359925607,54,46,39,0.39
2.9126735729859763,5001,1169.9718902721604,702.4946788633338,68,32,20,0.2
2.9126735729859763,5002,1180.7662311724548,708.9712834035101,68,32,16,0.16
2.9126735729859763,5003,1170.1999053739582,702.6314879244127,66,34,20,0.2
2.9126735729859763,5004,1040.6055732834861,624.8748886701289,59,41,31,0.31
4.714942062654641,5000,958.6944854875385,575.7282359925607,54,46,39,0.39
4.714942062654641,5001,1169.9718902721604,702.4946788633338,68,32,20,0.2
4.714942062654641,5002,1180.7662311724548,708.9712834035101,68,32,16,0.16
4.714942062654641,5003,1170.1999053739582,702.6314879244127,66,34,20,0.2
4.714942062654641,5004,1040.6055732834861,624.8748886701289,59,41,31,0.31
7.632396180736398,5000,958.6944854875385,575.7282359925607,54,46,39,0.39
7.632396180736398,5001,1169.9718902721604,702.4946788633338,68,32,20,0.2
7.632396180736398,5002,1180.7662311724548,708.9712834035101,68,32,16,0.16
7.632396180736398,5003,1170.1999053739582,702.6314879244127,66,34,20,0.2
7.632396180736398,5004,1040.6055732834861,624.8748886701289,59,41,31,0.31
12.355076835646473,5000,958.6944854875385,575.7282359925607,54,46,39,0.39
12.355076835646473,5001,1169.9718902721604,702.4946788633338,68,32,20,0.2
12.355076835646473,5002,1180.7662311724548,708.9712834035101,68,32,16,0.16
12.355076835646473,5003,1170.1999053739582,702.6314879244127,66,34,20,0.2
12.355076835646473,5004,1040.6055732834861,624.8748886701289,59,41,31,0.31
20.000000000000004,5000,958.6944854875385,575.7282359925607,54,46,39,0.39
20.000000000000004,5001,1169.9718902721604,702.4946788633338,68,32,20,0.2
20.000000000000004,5002,1180.7662311724548,708.9712834035101,68,32,16,0.16
20.000000000000004,5003,1170.1999053739582,702.6314879244127,66,34,20,0.2
20.000000000000004,5004,1040.6055732834861,624.8748886701289,59,41,31,0.31
