Success_Nodes,Fail_Nodes,Skipped_Nodes,Data_Collected_KB,Total_Time,Total_Energy,Total_Flight_Distance,Total_Comm_Latency,Attempts,Retry_Sum,Total_Waypoints,Success_Rate,Avg_Comm_Latency,Eff_Data_Per_Time,Eff_Data_Per_Energy,Avg_Retry_Per_Node,Strategy,LYA_V,Node_File,Num_Nodes
48,2,0,3079.9241776521117,1986.452999793528,2383.978120902812,5.863028764467194,1986.1598483553046,198,148,50,0.96,10.03111034522881,1.550464157960062,1.291926360668841,0.7474747474747475,baseline,,data1001,50
44,6,1,1902.0334305559675,964.0972182993353,1157.1511831097812,5.863028764467194,963.8040668611119,96,46,50,0.88,10.039625696469916,1.972864763484277,1.6437207672763687,0.4791666666666667,lya_V0.5,0.5,data1001,50
45,5,1,2683.2433542555386,845.6596381467344,1015.0260869266601,5.863028764467194,845.3664867085109,84,34,50,0.9,10.063886746529892,3.1729589934502185,2.6435215693618073,0.40476190476190477,lya_V1.0,1.0,data1001,50
40,10,2,1411.4293407964676,1023.1160101198162,1227.9737332943585,5.863028764467194,1022.8228586815928,102,52,50,0.8,10.027675085113655,1.379539882902601,1.1493970127601523,0.5098039215686274,lya_V2.0,2.0,data1001,50
39,11,5,1538.2127263321463,963.3695768908876,1156.2780134196441,5.863028764467194,963.0764254526642,96,46,50,0.78,10.032046098465253,1.596700542793211,1.3303139110834998,0.4791666666666667,lya_V3.0,3.0,data1001,50
40,10,4,1301.9199721028735,992.8969913824292,1191.710910809494,5.863028764467194,992.6038399442058,99,49,50,0.8,10.026301413577837,1.311233676204604,1.09247969477641,0.494949494949495,lya_V4.0,4.0,data1001,50
38,12,0,1975.5706574274557,2494.232823189536,2993.304733327188,5.633637493624819,2493.951141314855,249,207,50,0.76,10.015868037409055,0.7920554324600566,0.6599965033401471,0.8313253012048193,baseline,,data1002,50
43,7,2,1578.774311727058,1003.439230498135,1204.3524220975073,5.633637493624819,1003.157548623454,100,50,50,0.86,10.031575486234539,1.5733631531859789,1.3108906352988066,0.5,lya_V0.5,0.5,data1002,50
40,10,5,920.0217604734197,922.1217253956278,1106.7714159744985,5.633637493624819,921.8400435209466,92,42,50,0.8,10.020000473053766,0.9977226814374132,0.8312662824449184,0.45652173913043476,lya_V1.0,1.0,data1002,50
44,6,2,2596.3967232975006,1015.4744753212759,1218.7947158852764,5.633637493624819,1015.1927934465949,101,51,50,0.88,10.05141379650094,2.5568311034859366,2.130298638037331,0.504950495049505,lya_V2.0,2.0,data1002,50
44,6,1,2381.4085670495283,955.0444990087802,1146.2787443102814,5.633637493624819,954.762817134099,95,45,50,0.88,10.050134917201042,2.4935053492493178,2.0775126284684164,0.47368421052631576,lya_V3.0,3.0,data1002,50
42,8,4,2362.9947031059946,905.007671280893,1086.2345510368168,5.633637493624819,904.7259894062117,90,40,50,0.84,10.052510993402352,2.611021738369969,2.175400055955229,0.4444444444444444,lya_V4.0,4.0,data1002,50
46,4,0,2660.969641827194,2355.5921715521854,2826.9267916774475,5.404645370623238,2355.321939283654,235,185,50,0.92,10.02264655014321,1.1296393637077613,0.9412941465839031,0.7872340425531915,baseline,,data1003,50
40,10,5,1979.898605635518,924.2300294798018,1109.2922211905877,5.404645370623238,923.9597972112706,92,42,50,0.8,10.04304127403555,2.1422141052373007,1.7848305142810077,0.45652173913043476,lya_V0.5,0.5,data1003,50
44,6,2,2565.062273679611,975.4003568158902,1170.6966139938934,5.404645370623238,975.130124547359,97,47,50,0.88,10.052887881931536,2.6297532656775253,2.1910563702142825,0.4845360824742268,lya_V1.0,1.0,data1003,50
42,8,5,1637.6398208898702,873.5455119103106,1048.470800107198,5.404645370623238,873.2752796417794,87,37,50,0.84,10.037646892434246,1.8747046359480481,1.5619317397512968,0.42528735632183906,lya_V2.0,2.0,data1003,50
41,9,4,1558.3605113868898,943.3869532913047,1132.2805297643908,5.404645370623238,943.1167210227734,94,44,50,0.82,10.03315660662525,1.651878379227161,1.3763024890228919,0.46808510638297873,lya_V3.0,3.0,data1003,50
42,8,4,1248.8637602101107,842.7679597889511,1011.5377375615667,5.404645370623238,842.4977275204199,84,34,50,0.84,10.02973485143357,1.4818595625335063,1.2346190496270035,0.40476190476190477,lya_V4.0,4.0,data1003,50
48,2,0,2910.8989887653265,2376.0971258942877,2851.5368134065498,5.5065583351420795,2375.8217979775304,237,187,50,0.96,10.024564548428398,1.225075758496091,1.020817607922747,0.7890295358649789,baseline,,data1004,50
42,8,3,2206.2296857533506,994.6877872882636,1193.845607079322,5.5065583351420795,994.4124593715064,99,49,50,0.84,10.044570296681883,2.2180122385618257,1.8480025161300135,0.494949494949495,lya_V0.5,0.5,data1004,50
40,10,4,1565.0065940934967,1033.405341104944,1240.3066716593378,5.5065583351420795,1033.1300131881867,103,53,50,0.8,10.03038847755521,1.5144169783563832,1.2617900313313326,0.5145631067961165,lya_V1.0,1.0,data1004,50
42,8,1,1808.4226857891033,1023.8921732883352,1228.8908702794076,5.5065583351420795,1023.616845371578,102,52,50,0.84,10.035459268348804,1.7662237616107246,1.4715893245898475,0.5098039215686274,lya_V2.0,2.0,data1004,50
44,6,1,2020.662536825128,994.3166529904074,1193.4002459218939,5.5065583351420795,994.0413250736501,99,49,50,0.88,10.040821465390405,2.032212304549044,1.6931976876409802,0.494949494949495,lya_V3.0,3.0,data1004,50
44,6,3,2314.4698114249313,904.9042675396068,1086.1053833809337,5.5065583351420795,904.6289396228498,90,40,50,0.88,10.051432662476108,2.557695763462215,2.130980885317248,0.4444444444444444,lya_V4.0,4.0,data1004,50
46,4,0,2861.5848606178347,2345.99412387715,2815.40971197731,5.419083118300426,2345.7231697212355,234,184,50,0.92,10.02445799026169,1.2197749480670415,1.0164008628811951,0.7863247863247863,baseline,,data1005,50
46,4,1,3080.73810745819,986.4324303708315,1183.9356797697296,5.419083118300426,986.1614762149163,98,48,50,0.92,10.062872206274657,3.1231111352452614,2.602116111626419,0.4897959183673469,lya_V0.5,0.5,data1005,50
38,12,9,569.809401152531,881.4105729582202,1057.909450874596,5.419083118300426,881.139618802305,88,38,50,0.76,10.012950213662556,0.6464744338613018,0.5386183105571631,0.4318181818181818,lya_V1.0,1.0,data1005,50
41,9,5,1385.3218165039737,873.0415977889232,1047.8666806714398,5.419083118300426,872.770643633008,87,37,50,0.82,10.031846478540322,1.5867764147922139,1.3220401431375826,0.42528735632183906,lya_V2.0,2.0,data1005,50
37,13,9,1016.6960155272129,892.3043461869697,1070.981978749095,5.419083118300426,892.0333920310545,89,39,50,0.74,10.022847101472523,1.1394049797827375,0.9493119732179919,0.43820224719101125,lya_V3.0,3.0,data1005,50
42,8,6,2397.1072469997457,935.0651686499148,1122.294965704629,5.419083118300426,934.7942144939997,93,43,50,0.84,10.051550693483868,2.5635723876452237,2.1358977098277636,0.46236559139784944,lya_V4.0,4.0,data1005,50
41,9,0,2149.5914460669474,2494.5967037082582,2993.7540611028066,5.950416322450355,2494.299182892135,249,204,50,0.82,10.01726579474753,0.8616989843975762,0.7180253962729003,0.8192771084337349,baseline,,data1006,50
40,10,2,1844.8587891098778,1043.9872383943425,1253.0227027261087,5.950416322450355,1043.68971757822,104,54,50,0.8,10.035478053636732,1.767127720782564,1.4723267065282657,0.5192307692307693,lya_V0.5,0.5,data1006,50
46,4,0,2307.146196174913,874.9118132084725,1050.1321925030645,5.950416322450355,874.6142923923501,87,37,50,0.92,10.05303784359023,2.637004280138997,2.1970054938280352,0.42528735632183906,lya_V1.0,1.0,data1006,50
41,9,2,2138.8098016339854,964.5751404193908,1157.7281851561668,5.950416322450355,964.2776196032682,96,46,50,0.82,10.044558537534044,2.217359448745533,1.8474196526065225,0.4791666666666667,lya_V2.0,2.0,data1006,50
41,9,1,1974.746921851247,1064.2470146598255,1277.3344342446878,5.950416322450355,1063.9494938437028,106,56,50,0.82,10.03725937588399,1.8555343774983033,1.5459905165861692,0.5283018867924528,lya_V3.0,3.0,data1006,50
42,8,1,1317.9365999506672,1022.933394016024,1227.7580894721268,5.950416322450355,1022.6358731999014,102,52,50,0.84,10.025841894116681,1.288389456889724,1.073449738390494,0.5098039215686274,lya_V4.0,4.0,data1006,50
50,0,0,3861.144757574605,1818.0056075372358,2181.833383462353,5.666360441735921,1817.7222895151488,181,131,50,1.0,10.042664582956624,2.1238354499935292,1.7696790171242827,0.7237569060773481,baseline,,data1007,50
45,5,0,2617.2135192072465,905.5177450605013,1086.8479484902705,5.666360441735921,905.2344270384145,90,40,50,0.9,10.058160300426827,2.8902951195422237,2.4080769741920123,0.4444444444444444,lya_V0.5,0.5,data1007,50
38,12,7,1869.1813733643778,1004.0216807688156,1205.0526713402478,5.666360441735921,1003.7383627467287,100,50,50,0.76,10.037383627467287,1.8616942334682238,1.551120061238064,0.5,lya_V1.0,1.0,data1007,50
45,5,0,3357.2297588043757,976.9977775396956,1172.623987465304,5.666360441735921,976.7144595176088,97,47,50,0.9,10.069221232140297,3.436271643584134,2.863006210593752,0.4845360824742268,lya_V2.0,2.0,data1007,50
43,7,3,2577.979948153758,875.4392779183943,1050.7537879197423,5.666360441735921,875.1559598963076,87,37,50,0.86,10.059263906854111,2.944784422151629,2.4534576775189003,0.42528735632183906,lya_V3.0,3.0,data1007,50
45,5,1,2964.2378460352074,936.2117937141572,1123.6808068746577,5.666360441735921,935.9284756920704,93,43,50,0.9,10.06374705045237,3.166204341728517,2.637971413145136,0.46236559139784944,lya_V4.0,4.0,data1007,50
42,8,0,2568.3026582529224,2495.402929354444,2994.696574455687,5.32648075878302,2495.136605316505,249,201,50,0.84,10.020628937014077,1.0292136103716674,0.8576169886993424,0.8072289156626506,baseline,,data1008,50
43,7,5,1920.9044666471534,824.1081329712338,989.1428187958317,5.32648075878302,823.8418089332946,82,32,50,0.86,10.046851328454812,2.3308888600838555,1.941988993041101,0.3902439024390244,lya_V0.5,0.5,data1008,50
