Time,Data_Collected_KB,Current_Node,Attempt_Count,Success_Flag,Skipped_Flag,LYA_V,Node_File,Num_Nodes
20.037034055188528,14.712099991060914,0,2,1,0,,data1001,50
50.06004433476155,21.92022460676594,1,3,1,0,,data1001,50
60.11256009618077,41.97032634998248,2,1,1,0,,data1001,50
70.14939234605755,58.53772660058019,3,1,1,0,,data1001,50
90.18441250260615,75.46306699076108,4,2,1,0,,data1001,50
170.93016797841204,446.2329262033897,5,8,1,0,,data1001,50
190.97413679989887,466.84297977411217,6,2,1,0,,data1001,50
201.00318560842192,480.1262611745711,7,1,1,0,,data1001,50
311.0360329852419,494.4184685779877,8,11,1,0,,data1001,50
341.6301841120505,788.0710610194304,9,3,1,0,,data1001,50
381.6570084245211,798.450580148532,10,4,1,0,,data1001,50
402.78648080324723,1361.8229251388298,11,2,1,0,,data1001,50
442.82651694656573,1378.77945927155,12,4,1,0,,data1001,50
503.4172031995844,1673.3097100196853,13,6,1,0,,data1001,50
533.4491314658644,1688.0586926101075,14,3,1,0,,data1001,50
563.4890222503806,1703.4129950383542,15,3,1,0,,data1001,50
583.5222618733471,1715.5968003944213,16,2,1,0,,data1001,50
603.547047861949,1725.873809738805,17,2,1,0,,data1001,50
613.5779709919847,1740.624016797855,18,1,1,0,,data1001,50
623.6155355625057,1757.7252481000712,19,1,1,0,,data1001,50
633.6498892142307,1772.311071197016,20,1,1,0,,data1001,50
663.6977476443043,1791.937936240688,21,3,1,0,,data1001,50
713.7421379809098,1812.4404872740713,22,5,1,0,,data1001,50
733.7552465716209,1817.6654469999971,23,2,1,0,,data1001,50
793.7795238374391,1827.809427290699,24,6,1,0,,data1001,50
853.8166095179128,1843.01625537367,25,6,1,0,,data1001,50
863.8563323087425,1858.3179112300884,26,1,1,0,,data1001,50
913.8996694130524,1876.5205824290285,27,5,1,0,,data1001,50
943.9343488449067,1892.1269087602893,28,3,1,0,,data1001,50
963.9704988261576,1904.6310413395151,29,2,1,0,,data1001,50
974.0176704620247,1923.6463234148775,30,1,1,0,,data1001,50
984.0409022183118,1934.1481378657923,31,1,1,0,,data1001,50
1204.0822792496356,1950.644275109131,33,2,1,0,,data1001,50
1214.1381519387915,1975.9176022367076,34,1,1,0,,data1001,50
1224.160106130581,1985.1318263223186,35,1,1,0,,data1001,50
1234.1874886354644,1997.4314082918197,36,1,1,0,,data1001,50
1264.2038832101287,2003.6216610152903,37,3,1,0,,data1001,50
1274.2435400746683,2019.8844147456937,38,1,1,0,,data1001,50
1365.3912705674768,2592.874607635536,39,9,1,0,,data1001,50
1385.4282879783955,2608.975345731093,40,2,1,0,,data1001,50
1446.2190768638573,3002.0564603658445,41,6,1,0,,data1001,50
1506.2424181927224,3009.2456208908716,42,6,1,0,,data1001,50
1526.2782883128232,3019.4421343537842,43,2,1,0,,data1001,50
1736.319302576608,3029.5423961937895,45,1,1,0,,data1001,50
1746.3586718358433,3045.579803392174,46,1,1,0,,data1001,50
1776.387671592711,3054.057882850558,47,3,1,0,,data1001,50
1806.4181868791006,3064.082593439093,48,3,1,0,,data1001,50
1986.452999793528,3079.9241776521117,49,18,1,0,,data1001,50
60.03062013477943,7.208124615705027,1,1,1,0,0.5,data1001,50
